Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Raised during),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
The user wants to be able to reset his password when forgotten,JWP-82,10725,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 9:08 PM,11/Mar/17 7:10 AM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,86400,86400,,0%,86400,86400,,,,{},,JWP-87,,,,,0|i0012g:,JwProgra Sprint 5,,,3.0,,,,,
Encript passwords ,JWP-68,10711,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,04/Sep/16 7:18 PM,11/Mar/17 7:10 AM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-87,,,,,0|i0012h:,JwProgra Sprint 5,,,1.0,,,,,
The developer wants to use swagger to document his rest-api,JWP-112,13600,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,11/Mar/17 7:09 AM,11/Mar/17 7:09 AM,24/Feb/18 2:42 PM,,,,0,,,,admin,28800,28800,,0%,28800,28800,,,,{},,JWP-89,,,,,0|i0014v:,,,,,,,,,
The programmer want to use swagger and more Rest-Connections to eddit and add information,JWP-89,13104,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:40 PM,11/Mar/17 7:09 AM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-12,,Rest ,To Do,,,0|i0010f:,,,,,,,,,
Create Assignemnt Slips,JWP-49,10100,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,admin,admin,admin,16/Aug/16 9:56 AM,11/Mar/17 7:07 AM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,28800,28800,,0%,28800,28800,,,17/Aug/16 5:57 PM;admin;0DB5FA5A-A4BC-4A7F-8B24-A38D4A54BC7A.JPG;https://denisbittante.atlassian.net/secure/attachment/10000/0DB5FA5A-A4BC-4A7F-8B24-A38D4A54BC7A.JPG,{},,JWP-36,,,,,0|i000an:,,,,1.0,,,,17/Aug/16 6:00 PM;admin;The Report has to be added with Object   Place and Object Tasktype,
Assignment must be able to be accepted,JWP-17,10016,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Jul/16 10:04 AM,04/Mar/17 4:40 PM,24/Feb/18 2:42 PM,,1.0,,0,,Die Assignments sollen akzeptiert werden können,,denisbittante,28800,28800,,0%,28800,28800,,,,{},,JWP-91,,,17,,0|i0000e:ob,JwProgra Sprint 2,JwProgra Sprint 3,,1.0,,,,,
a user wants to page the results,JWP-22,10021,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,denisbittante,admin,13/Aug/16 4:02 AM,04/Mar/17 4:38 PM,24/Feb/18 2:42 PM,,1.0,,0,,,,denisbittante,144000,144000,,0%,144000,144000,,,,{},,JWP-85,,,22,,0|i0004n:,,,,5.0,,,,,
The user wants to be able to login change the password his personal information,JWP-87,13102,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:38 PM,21/Feb/17 1:21 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-3,,Profile,To Do,,,0|i000zz:,,,,,,,,,
The user wants to arrange the Program Authorization accordingly to they requirments,JWP-86,13101,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:36 PM,21/Feb/17 9:32 AM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-10,,Authorization,To Do,,,0|i000zr:,,,,,,,,,
The domain-Admin wants to admin Person in his domain,JWP-90,13105,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:41 PM,21/Feb/17 9:32 AM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-1,,Usermanagement,To Do,,,0|i0010n:,,,,,,,,,
A User wants to connect a Person with User,JWP-44,10043,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 1:06 AM,21/Feb/17 9:32 AM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,57600,57600,,0%,57600,57600,,,,{},,JWP-90,,,,,0|i0000e:ni,JwProgra Sprint 2,JwProgra Sprint 3,,2.0,,,,,
An ProgramOwner want to create a Group,JWP-45,10044,Story,In Progress,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 1:07 AM,21/Feb/17 9:31 AM,24/Feb/18 2:42 PM,,1.0,,0,,,,admin,57600,57600,,0%,57600,57600,,,,{},,JWP-90,,,,,0|i00005:,JwProgra Sprint 2,JwProgra Sprint 3,,2.0,,,,,
User zu Rollen hinzufügen,JWP-110,13404,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,20/Feb/17 7:30 PM,20/Feb/17 7:35 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,,,,,,0|i0014f:,,,,,,,,,
Gruppen erstellen,JWP-109,13403,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,20/Feb/17 7:29 PM,20/Feb/17 7:29 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,JWP-90,,,,,0|i00147:,,,,,,,,,
The user wants some nice features for his Homescreen,JWP-98,13113,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 10:46 PM,20/Feb/17 7:27 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-12,,Homescreen,To Do,,,0|i0011z:,,,,,,,,,
calendar abonament,JWP-96,13111,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 10:43 PM,20/Feb/17 7:18 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-13,,Calendar abonament,To Do,,,0|i0011j:,,,,,,,,,
the user wants to see his vacation in his own calendar,JWP-107,13401,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,20/Feb/17 7:18 PM,20/Feb/17 7:18 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,JWP-96,,,,,0|i0013r:,,,,,,,,,
the user wants to see his tasks in his own calendar,JWP-79,10722,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,05/Sep/16 12:03 PM,20/Feb/17 7:16 PM,24/Feb/18 2:42 PM,,1.2,,0,,,,admin,144000,144000,,0%,144000,144000,,,,{},,JWP-96,,,,,0|i000gn:,,,,5.0,,,,,
calendar abonament,JWP-106,13400,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,20/Feb/17 7:16 PM,20/Feb/17 7:16 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,,,,,,0|i0013j:,,,,,,,,,
The user wants to have angular with Prototype Faces as Application UI,JWP-85,13100,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 9:35 PM,29/Jan/17 11:21 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-5,,Angular Gui,To Do,,,0|i000zj:,,,,,,,,,
Study Angular for the Project,JWP-105,13302,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,29/Jan/17 11:21 PM,29/Jan/17 11:21 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-2,,Learn Angular,To Do,,,0|i0013b:,,,,,,,,,
Read about Promise : http://exploringjs.com/es6/ch_promises.html,JWP-103,13300,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,29/Jan/17 11:20 PM,29/Jan/17 11:21 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,JWP-105,,,,,0|i0012v:,,,,,,,,,
Read about  Arrow Functions: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Functions/Arrow_functions,JWP-104,13301,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,29/Jan/17 11:20 PM,29/Jan/17 11:21 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},,JWP-105,,,,,0|i00133:,,,,,,,,,
Autoassignemnt Business Implementieren,JWP-102,13201,Story,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,22/Jan/17 3:12 PM,22/Jan/17 3:14 PM,24/Feb/18 2:42 PM,,1.2,,0,,"The user want to find out who of the group for that specific tasktype is;
* not in vacation
* not used somewhere  else (other task) colision
* most likely free
* has the least assignments to do in that time span 
* has the least assignment in th last 24 hours",,admin,,,,,,,,,,{},,JWP-101,,,,,0|i0012j:,,,,,,,,,
The user wants so find out who is able to do a certain task.,JWP-101,13200,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,22/Jan/17 3:09 PM,22/Jan/17 3:12 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-5,,Auto Assignment,To Do,,,0|i0012n:,,,,,,,,,
The user wants to be able to print the Programm Overview,JWP-99,13114,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,19/Jan/17 10:47 PM,19/Jan/17 10:50 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-6,,Printable Programm Overview,To Do,,,0|i0011f:,,,,,,,,,
Stuff not necessary for the user,JWP-39,10038,Epic,To Do,JWP,jwprogram,software,admin,,,Medium,,,admin,admin,15/Aug/16 12:54 AM,19/Jan/17 10:49 PM,24/Feb/18 2:42 PM,,,,0,,,,admin,,,,,,,,,,{},ghx-label-1,,Technical Debts,To Do,,,0|i000fv:,,,,,,,,,
